Verb,pct_female,pct.male,pct.trans,pct.human,pct.robot,pct.animal,pct.fictional,pct.asian,pct.white,pct.black,pct.PoC.other,pct.heterosexual,pct.homosexual,pct.sexuality.other,pct.child,pct.young.adult,pct.adult,pct.elderly
Malfunctioning,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Maneuvering,0,0.2222222222222222,0,0.2222222222222222,0,0,0,0,0.2222222222222222,0,0,0.1111111111111111,0,0,0,0,0.2222222222222222,0
Manifested,0.2,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Manipulated,0.16129032258064516,0.06451612903225806,0,0.22580645161290322,0,0,0,0,0.16129032258064516,0,0,0.16129032258064516,0,0,0,0.03225806451612903,0.16129032258064516,0.03225806451612903
Manipulating,0.08108108108108109,0.13513513513513514,0,0.17567567567567569,0.06756756756756757,0,0,0.013513513513513514,0.13513513513513514,0.02702702702702703,0.013513513513513514,0.10810810810810811,0,0,0,0.013513513513513514,0.22972972972972974,0
Mapping,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0
Marked,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Masked,0.1111111111111111,0.1111111111111111,0,0.2222222222222222,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0,0,0,0.2222222222222222,0
Matched,0.25,0,0,0.125,0.125,0,0,0,0.125,0,0.125,0,0,0,0,0.25,0,0
Matching,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Materialised,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Materialising,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
Measured,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Mediating,0.18181818181818182,0.09090909090909091,0,0.18181818181818182,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0,0.2727272727272727,0
Merged,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Mimicked,0.15384615384615385,0.07692307692307693,0,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0,0.07692307692307693,0,0,0,0,0.23076923076923078,0
Mimicking,0.07692307692307693,0.07692307692307693,0,0.15384615384615385,0.07692307692307693,0,0.07692307692307693,0,0.23076923076923078,0,0,0,0,0,0.07692307692307693,0,0.15384615384615385,0
Mirroring,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0
Misgendered,0.125,0.125,0,0.25,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0.25,0
Misidentified,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Misidentifying,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0
Misinterpreted,0.2,0,0,0.3,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.2,0
Misrepresented,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0
