Verb,Char,Ent,Tech,VerbType
Performing,8,4,3,Active
Permitting,0,0,2,Active
Persuaded,2,0,0,Passive
Persuading,2,2,1,Active
Philosophising,2,0,0,Active
Photographed,5,6,3,Passive
Photographing,6,7,10,Active
Picking,1,1,1,Active
Pierced,1,0,0,Passive
Piercing,0,0,1,Active
Pirating,0,1,0,Active
Placing,0,2,0,Active
Planning,18,3,1,Active
Played,0,0,5,Passive
Playing,16,8,1,Active
Pleased,2,0,0,Passive
Pleasuring,1,0,1,Active
Plotting,2,0,1,Active
Pointing,1,0,0,Active
Policed,0,1,0,Passive
Policing,0,2,0,Active
Posing,7,22,0,Active
Practicing,2,0,0,Active
Pranked,1,0,0,Passive
Pranking,1,1,0,Active
Predicted,1,0,0,Passive
Predicting,7,0,29,Active
Preoccupied,1,0,0,Passive
Preoccupying,1,0,2,Active
Preparing,2,0,0,Active
Presented,2,0,4,Passive
Presenting,3,0,1,Active
Pressuring,0,2,0,Active
Pretending,8,1,3,Active
Printing,1,0,5,Active
Prioritizing,0,0,3,Active
Problem-solving,4,0,1,Active
Processing,7,0,32,Active
Proctecting,1,0,0,Active
Produced,0,1,0,Passive
Producing,0,3,6,Active
Profiling,1,0,1,Active
Programming,1,0,0,Active
Prohibiting,0,1,1,Active
Projected,12,5,3,Passive
Projecting,4,0,39,Active
Promoting,0,1,0,Active
Proposing,0,0,2,Active
Protected,15,2,0,Passive
Protecting,19,9,27,Active
Protesting,4,3,0,Active
Providing,0,0,1,Active
Provoked,1,0,0,Passive
Provoking,1,1,0,Active
Published,0,4,0,Passive
Publishing,0,1,3,Active
Punched,1,0,0,Passive
Punching,2,0,0,Active
Punished,2,0,0,Passive
Punishing,0,0,2,Active
Puppeteering,1,0,0,Active
Purchased,0,0,2,Passive
Purchasing,0,1,0,Active
Puzzled,1,0,0,Passive
Quantifying,1,0,0,Active
Queering,0,0,1,Active
Questioned,6,0,5,Passive
Questioning,11,5,0,Active
Racing,2,0,0,Active
Ranking,0,0,2,Active
