Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Hunted,FALSE,8,12,0,1,4,17,3,12,1,6,13,9,26,1,0,1,0,1,0,0
Hunting,TRUE,5,11,0,6,3,12,4,8,0,2,16,2,39,1,0,0,0,1,0,0
Hurt,FALSE,0,2,0,0,0,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Hurting,TRUE,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
hypnotized,FALSE,0,2,0,0,0,2,0,2,0,1,1,0,2,0,0,0,0,0,0,0
Hypnotizing,TRUE,1,1,0,0,0,2,0,2,0,1,1,0,2,0,0,0,0,0,0,0
Hypothesizing,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Identified,FALSE,10,23,0,1,3,35,4,24,4,7,27,12,48,2,0,0,0,0,0,0
Identifying,TRUE,2,5,0,3,0,5,0,1,1,0,5,1,16,1,0,0,0,0,0,0
Ignored,FALSE,2,1,0,1,0,2,1,2,0,0,3,1,2,0,0,0,0,0,0,0
Ignoring,TRUE,1,4,0,1,1,4,0,1,0,0,4,2,11,1,0,0,0,0,0,0
Illuminated,FALSE,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Imagining,TRUE,2,0,0,0,0,2,0,2,0,1,1,1,1,0,0,0,0,0,0,0
Imitated,FALSE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Impaired,FALSE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Impersonated,FALSE,2,1,0,0,0,3,1,0,0,0,3,0,4,1,0,0,0,0,0,0
Impersonating,TRUE,2,2,0,2,1,2,0,4,0,0,5,1,6,0,0,0,0,0,0,0
Implanting,TRUE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Implementing,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Impressed,FALSE,1,1,0,0,0,2,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Impressing,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Imprisoned,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Improving,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Incapacitated,FALSE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Incarcerated,FALSE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Inexperienced,FALSE,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Infiltrating,TRUE,1,0,0,1,0,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0
Influenced,FALSE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Influencing,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Informed,FALSE,11,16,0,7,0,26,5,17,0,2,28,16,40,3,3,0,0,0,0,1
Informing,TRUE,3,4,0,2,0,6,1,5,1,0,5,2,10,0,1,0,0,0,0,0
Inhabiting,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
Inhibited,FALSE,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Initiating,TRUE,1,1,0,0,0,2,0,1,0,0,1,0,3,0,0,1,0,0,0,0
Injured,FALSE,1,1,0,0,0,2,1,0,0,0,2,0,2,1,0,0,0,0,0,0
Inspecting,TRUE,0,2,0,0,0,2,0,2,0,0,2,0,1,0,0,1,0,0,0,0
Inspired,FALSE,0,1,0,0,0,2,0,1,0,1,0,1,3,0,1,0,0,0,0,0
Inspiring,TRUE,1,2,0,1,0,2,0,1,0,0,3,0,4,1,0,0,0,0,0,0
Instructed,FALSE,0,1,0,0,0,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0
Instructing,TRUE,2,1,0,3,0,1,0,0,1,0,1,0,11,0,0,0,0,0,0,0
Interacting,TRUE,3,9,0,2,0,13,1,10,2,2,11,7,13,1,0,0,0,0,0,1
Intercepting,TRUE,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Interpreted,FALSE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Interpreting,TRUE,2,1,0,3,0,3,2,1,0,0,6,0,12,0,0,0,0,0,0,0
Interrogating,TRUE,2,0,0,1,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Intervening,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Interviewed,FALSE,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0
Intimidated,FALSE,2,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2
Intimidating,TRUE,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Introduced,FALSE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Introducing,TRUE,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0
Intruding,TRUE,2,2,0,0,0,4,0,2,1,0,3,2,4,0,0,0,0,0,0,0
Invaded,FALSE,1,0,0,1,0,1,0,1,0,1,1,0,4,0,0,0,0,0,0,0
Invading,TRUE,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Inventing,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Investigated,FALSE,0,2,0,0,0,3,0,2,0,0,3,0,4,1,0,0,0,0,0,0
Investigating,TRUE,7,19,0,6,0,22,1,18,0,1,27,12,25,2,0,0,0,0,0,0
Irritated,FALSE,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Joking,TRUE,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Judged,FALSE,1,0,0,0,0,2,0,1,0,0,2,1,3,0,0,0,0,0,0,0
Judging,TRUE,0,2,0,1,1,1,0,1,0,0,0,1,8,0,0,0,0,0,0,0
