Verb,target,SituationID,Government,Narrative,Art,User,Humans in general,Corporation,Game,Object,Image,Creator,Law enforcement,Environment,Military
Classified,FALSE,1653,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,1673,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,1688,0,0,0,1,0,0,1,0,0,0,0,0,0
Classified,FALSE,1763,0,0,1,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,1948,0,0,1,0,0,0,0,1,0,0,0,0,0
Classified,FALSE,1967,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2186,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,2246,0,0,2,0,1,0,0,0,1,0,0,0,0
Classified,FALSE,2251,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2535,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2537,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2551,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2553,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2569,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2593,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,2741,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2832,0,0,1,0,0,0,0,0,0,1,0,0,0
Classified,FALSE,2833,0,0,1,0,0,0,0,1,0,0,0,0,0
Classified,FALSE,2936,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,2938,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,2966,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,3013,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,3015,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,3052,0,0,1,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,3080,0,0,1,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,3083,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,3089,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,3092,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,3102,0,0,0,0,0,0,1,1,0,0,0,0,0
Classified,FALSE,3122,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,3211,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,3244,0,0,0,0,1,0,1,0,0,0,0,0,0
Classified,FALSE,3267,0,1,0,0,1,0,0,0,0,0,0,0,0
Classifying,TRUE,527,0,0,1,1,0,0,0,0,0,0,0,0,0
Classifying,TRUE,528,0,0,1,0,0,0,0,0,0,1,0,0,0
Classifying,TRUE,681,0,0,0,1,0,0,1,0,0,0,0,0,0
Classifying,TRUE,1138,0,0,1,1,0,0,0,0,0,0,0,0,0
Classifying,TRUE,1653,0,0,1,0,0,0,0,0,0,1,0,0,0
Classifying,TRUE,3052,0,0,1,0,0,0,0,0,0,1,0,0,0
Classifying,TRUE,3083,0,1,0,0,0,0,0,0,0,0,0,0,1
Classifying,TRUE,3092,0,0,1,0,1,0,0,0,0,0,0,0,0
Cleaning (data),TRUE,1157,0,0,1,0,0,0,0,0,0,1,0,0,0
Cleaning (data),TRUE,1579,0,0,1,0,0,0,0,0,0,1,0,0,0
Collaborating,TRUE,424,0,0,1,0,0,0,0,0,0,1,0,0,0
Collaborating,TRUE,725,0,0,1,0,0,0,0,0,0,1,0,0,0
Collaborating,TRUE,2248,0,0,1,1,0,0,0,0,0,0,0,0,0
Collected,FALSE,441,0,0,1,0,1,0,0,0,0,0,0,0,0
