WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
RASA-BOX,1073,NA,Hanbin Deng,1070,NA
Masked Reality,3178,NA,Harshit Agrawal,3177,NA
Serious Games III: Immersion,894,NA,Harun Farocki,892,Q67547
Eye/Machine I,893,NA,Harun Farocki,892,Q67547
Compis,2778,NA,Hasse Hope,2776,Q11974407
Órbita 9,1975,Q42577704,Hatem Khraiche,2194,Q51892574
What a Ghost Dreams Of,1079,NA,hdoto,1077,NA
How do you see me?,1539,NA,Heather Dewey-Hagborg,1219,Q16728530
Spurious Memories,1540,NA,Heather Dewey-Hagborg,1219,Q16728530
Probably Chelsea,1227,NA,Heather Dewey-Hagborg,1219,Q16728530
deus X mchn,203,NA,Helena Nikonole,199,NA
Saving Face,1603,NA,Hermen Maat,1602,NA
Neon Genesis Evangelion,405,Q1977621,Hideaki Anno,402,Q23261
This is the Future,1543,NA,Hito Steyerl,1541,Q98366
How Not to Be Seen: A Fucking Didactic Educational .MOV File,1542,NA,Hito Steyerl,1541,Q98366
Gluttonous Snake,1059,NA,Huang Mingyuan,1055,NA
Wool,2790,NA,Hugh Howey,2788,Q5931173
Volumetric Data Collector,1050,NA,Huyn Parke,1046,NA
HyperFace,1502,NA,Hyphen-Labs,1552,NA
Machines Like Me,432,Q64031447,Ian McEwan,431,Q190379
Has Anyone Else Used ExpressionCaptioner?,127,NA,iia,126,NA
Hardcore Henry,80,Q20982361,Ilya Naishuller,78,Q23867507
Too Much,2449,NA,Imanbek Zeikenov,2446,NA
Stellar,2635,NA,Incubus,2632,NA
Call of Duty 4: Modern Warfare,1461,Q76255,Infinity Ward,1460,Q731482
Hell No,360,NA,Ingrid Michaelson,357,Q242873
Scanner Sombre,1456,Q29832341,Introversion Software,1455,Q1671616
Drone Selfies,159,NA,IOCOSE,158,NA
RASA-BOX,1073,NA,Iris Long,1069,Q17183811
INTERHUMAN,3198,NA,Isabella Salas,3196,NA
Flåklypa Grand Prix,2546,Q570651,Ivo Caprino,2545,Q2712084
The Human Detector,3147,NA,Iyo Bisseck,3146,NA
His Dark Materials,2427,Q56195117,Jack Thorne,2426,Q6115483
The Zizi Show,3189,NA,Jake Elwes,3188,Q110822600
Young Ones,108,Q14595113,Jake Paltrow,107,Q727938
Primal Tourism,595,NA,Jakob Kudsk Steensen,593,NA
Cloud Index,1535,NA,James Bridle,211,Q20683898
Gradient Ascent,1538,NA,James Bridle,211,Q20683898
Autonomous Trap 001,212,NA,James Bridle,211,Q20683898
Terminator 2,729,Q170564,James Cameron,728,NA
Terminator 2,729,Q170564,James Cameron,728,Q42574
The Terminator,737,Q7768498,James Cameron,728,NA
The Terminator,737,Q7768498,James Cameron,728,Q42574
"Guardians of the Galaxy, vol. 1 & vol. 2",1814,Q20001199,James Gunn,1827,Q715505
Logan,1918,Q24053263,James Mangold,1916,Q433893
The Circle,675,Q21010849,James Ponsoldt,672,Q1680997
The Expanse,2412,Q7732812,James S.A. Corey,2906,NA
(e)motion,1559,NA,Jan Klug,1760,NA
The Other Nefertiti,3202,NA,Jan Nikolai Nelles,3201,NA
Dirty Computer,393,Q52213432,Janelle Monáe,392,Q234356
The Rain,1749,Q48855569,Jannik Tai Mosholt,1748,Q33157949
The Castle Doctrine,1454,Q15710729,Jason Rohrer,1453,Q92678
SelfieCity,3051,NA,Jay Chow,3049,NA
The Social Dilemma,2519,Q99191029,Jeff Orlowski,2516,Q6174634
The Mitchells vs. The Machines,3033,Q54021143,Jeff Rowe,3031,NA
Star Trek: Into Darkness,1819,Q18615119,Jeffrey Jacob Abrams,1808,NA
"Star Wars (Episode: 7, 8 & 9)",2148,Q6074,Jeffrey Jacob Abrams,1808,NA
Replicas,666,Q27958509,Jeffrey Nachmanoff,662,Q3176718
Moth & Whisper,2978,NA,Jen Hickman,2977,NA
Nail Art Museum,61,NA,Jeremy Bailey,60,Q96684990
Have a Nice Day,3087,Q28743025,Jian Liu,3085,NA
Gluttonous Snake,1059,NA,Jin Ni,1054,NA
WEARABLE FACE PROJECTOR,1508,NA,Jing-cai Liu,1507,Q104558036
Volumetric Data Collector,1050,NA,Jinoon Choi,1047,NA
Surveillance Exclusion,1505,NA,Jip van Leeuwenstein,1504,NA
The Virtual Watchers,217,NA,Joanna Moll,215,NA
"Robotika, the Nannybot",600,NA,Joaquin Fargas,599,Q23907082
Neuleittorgasse,896,NA,Jogi Hofmüller,895,NA
